px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
19.4794	8.66018	4.95579	1.18089	0.442491	19.347	8.30741	19.5042	8.5289	1.90381	4.49819	7.35642
19.5606	8.88748	4.94958	1.21219	0.463661	19.6843	8.35902	19.5966	8.75494	1.7919	4.53956	0.990456
19.7323	9.05303	4.92458	1.18907	0.410167	20.0039	8.8906	19.6835	8.983	1.67841	4.57848	5.99123
19.7934	9.29196	4.92194	1.23358	0.458156	19.6061	9.48659	19.7645	9.21294	1.56341	4.61488	1.00236
19.9338	9.49365	4.91485	1.22661	0.422451	20.1574	9.45949	19.8398	9.44463	1.44697	4.64869	2.93519
19.965	9.73678	4.90759	1.28683	0.499772	19.6163	9.76606	19.9093	9.67795	1.32916	4.67984	2.94218
20.0606	9.95349	4.89976	1.29681	0.482336	20.1573	9.90876	19.9728	9.91275	1.21005	4.70826	0.672096
20.1158	10.2024	4.90866	1.3193	0.46831	19.1911	11.5493	20.0303	10.1489	1.08972	4.73389	6.37987
20.1706	10.4457	4.91208	1.34475	0.470383	20.166	10.4687	20.0818	10.3863	0.968259	4.75666	0.0304612
20.178	10.6923	4.90703	1.40037	0.530958	19.6775	10.803	20.1271	10.6247	0.845742	4.77652	2.92421
20.2433	10.9377	4.9149	1.41609	0.517105	20.371	11.0109	20.1663	10.864	0.722256	4.7934	1.12714
20.2708	11.1905	4.92195	1.44058	0.505687	19.4335	12.3402	20.1993	11.1041	0.597892	4.80727	4.55137
20.3076	11.4203	4.91139	1.46144	0.501806	20.3164	11.3483	20.2261	11.3449	0.472738	4.81807	0.282589
20.2455	11.6748	4.90735	1.54965	0.623145	19.2063	12.2418	20.2466	11.5861	0.346889	4.82575	10.2206
20.3204	11.9056	4.90374	1.54981	0.587417	20.6141	11.9422	20.2608	11.8275	0.220439	4.83027	4.8299
20.3463	12.1441	4.89999	1.54639	0.510156	19.966	11.9688	20.2687	12.0692	0.093487	4.83159	4.19977
20.3399	12.4057	4.91328	1.57609	0.513134	20.3263	12.4966	20.2701	12.3108	-0.0338694	4.82968	0.449133
20.2856	12.648	4.90858	1.6416	0.59468	20.0192	12.4823	20.2652	12.5522	-0.161529	4.82451	3.07023
20.3115	12.8835	4.90262	1.65239	0.573794	20.498	12.8924	20.254	12.7933	-0.28939	4.81605	1.93616
20.2957	13.121	4.89763	1.67953	0.575448	20.9151	12.2555	20.2363	13.0339	-0.417348	4.80428	2.2304
20.2578	13.3387	4.87683	1.71188	0.582447	20.1943	13.1688	20.2122	13.2738	-0.545298	4.78918	1.67377
20.217	13.577	4.87441	1.73561	0.564454	19.858	13.5236	20.1818	13.5129	-0.673135	4.77072	1.4544
20.2013	13.8225	4.87777	1.75274	0.551432	20.3245	13.8896	20.1449	13.7509	-0.800753	4.74892	1.04426
20.1417	14.0547	4.87359	1.79132	0.575292	20.3387	13.5307	20.1017	13.9878	-0.928043	4.72374	0.918302
20.091	14.2968	4.87746	1.81742	0.571742	20.1216	14.337	20.0521	14.2233	-1.0549	4.69521	0.131114
20.0175	14.5279	4.8748	1.84772	0.569044	19.6717	14.4038	19.9962	14.4573	-1.18121	4.66331	1.47672
19.9152	14.7661	4.88332	1.88809	0.581289	19.781	14.773	19.934	14.6897	-1.30687	4.62805	0.997726
19.8462	14.9904	4.8748	1.90215	0.543894	20.1149	14.0165	19.8655	14.9202	-1.43177	4.58944	3.62757
19.813	15.2136	4.86104	1.91171	0.526043	20.0208	15.2053	19.7908	15.1486	-1.55581	4.54751	2.37972
19.6764	15.4231	4.86193	1.9985	0.667108	20.0157	15.3443	19.7099	15.3749	-1.67887	4.50226	7.44873
19.6372	15.6263	4.83429	2.01007	0.646423	19.9131	15.554	19.6229	15.5989	-1.80085	4.45372	4.46746
19.5387	15.8395	4.82836	2.03432	0.627347	19.9388	15.0864	19.5298	15.8203	-1.92164	4.40193	1.64565
